reference product,prod_category,prod_sub_category,ISIC_name,ISIC,CPC_name,CPC,code_EI
"fluosilicic acid, without water, in 22% solution state",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Basic chemicals,34,a5911cee1b7a0ac7492a52103d6757d0
"water, ultrapure",Chemical,Chemical products,"Water collection, treatment and supply",3600, Basic chemicals,34,21ed9273b5a0b22cbb73c479b9a12b6f
cement mortar,GlasNonMetal,Glass and other non-metallic products,"Manufacture of cement, lime and plaster",2394, Glass and glass products and other non-metallic products n.e.c.,37,8d62068c9279732cb71687a0d71e8227
light mortar,GlasNonMetal,Glass and other non-metallic products,"Manufacture of cement, lime and plaster",2394, Glass and glass products and other non-metallic products n.e.c.,37,87d31f30bac1ec8c2b3103a97a7971d3
lime mortar,GlasNonMetal,Glass and other non-metallic products,"Manufacture of cement, lime and plaster",2394, Glass and glass products and other non-metallic products n.e.c.,37,03c1c2fb8d52d30d5c6eda694604c0da
"titanium zinc plate, without pre-weathering",MetalAlloy,"Basic metals & alloys, their semi-finished products",Manufacture of basic precious and other non-ferrous metals,2420, Basic metals,41,904025dc92331ef02ad73214a4f83f38
"cathode, for aluminium electrolysis",MachElecTrans,Metal/electronic equipments and parts,Manufacture of other electrical equipment,2790, Electrical machinery and apparatus,46,799da02a7415ca8930d5b66191eb4c4b
lime,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Chemical and fertilizer minerals,161,df0175044d1c507890b05003d9b46f71
"lime, from liquid packaging board production",OreMinFuel,"Ores, minerals & fuels",Manufacture of fertilizers and nitrogen compounds,2012, Chemical and fertilizer minerals,161,85fef9eb4232b56a43f48fc42742637b
heptane,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]",333,aa5f44cdd31e77897087c37a8c086df5
hexane,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]",333,06f2f0a02866dcb211c750cb55a4b96e
pentane,OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011," Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]",333,54229a2b73fe1bbc67184ede3852b3d3
liquefied petroleum gas,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum gases and other gaseous hydrocarbons, except natural gas",334,b85dd8042e40368043663aaf3123294a
"solvent, organic",Chemical,Chemical products,Manufacture of chemicals and chemical products,20, Basic organic chemicals,341,5b62cc228b6be12d7c46b78a288196e6
"1,1-dimethylcyclopentane",Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,1d80b6f947de66389937a230c9816395
2-methylpentane,Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,7ce27c7965966bc482506e65e5fa7a8a
"2,3-dimethylbutan",Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,198298c3593c2c3ac3fabe1e3b7c01d9
fraction 1 from naphtha separation,Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,ff565ffd2ca9c25886c61856779ef73d
fraction 7 from naphtha separation,Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,c8bfff46b8767b3102910c538c53cce1
fraction 8 from naphtha separation,Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,c800ce318c3537044276565a6bfff2d6
methylcyclopentane,Chemical,Chemical products,Manufacture of refined petroleum products,1920, Basic organic chemicals,341,9972c325deec42f1132cdade084d5656
"1,1-difluoroethane, HFC-152a",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,d58bebfceec44f2f0e22c6ad9e45773d
2-methyl-1-butanol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,0421d24c3ea15f5bf68143b433762084
2-methyl-2-butanol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,30cfd96787609979f4046691ca4e7ace
2-pyridinol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,54d04afcd537f831bd55ef460e378667
"2,4-dichlorotoluene",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,b4ad144d208549a26a4d3e4d76362ddc
3-methylpyridine,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,444fefee53f8f66185b69fc47f6f2dcb
4-tert-butylbenzaldehyde,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,ac6dccfa7293063a26be0af46f290b4b
4-tert-butyltoluene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,8115540a30dbc91648fb619fb2f5269a
acetanilide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,e52040684f61180da5c87eea563f6c6f
acetyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,b5bfa7b2815617544228d9aed892116c
acetylene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,a2d40acd0c022e17130f45407b3a6621
"alkylketene dimer sizing agent, for paper production",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,9fb74f9673b9ae4b66387a3f5175fa33
allyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,613e25c9999ae1d0ad4cda5d7b3dc82d
alpha-naphthol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,30a4566f91b837a97e4b637b06f71b62
aminopyridine,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,8ccb2e7c7d168d3388d65bcb705ea94a
benzyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,953136c576c6dfec23a013eba41be129
bromopropane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,184a8037423dc1b9da0326614026a4c5
butane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,66d64d684489a9a5cbd327fc480adcb5
"butane-1,4-diol",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,265f968a557c234dccaa2bee270d9466
butyl acrylate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,890cc1f945909a2c6594b3e0b6ffbbde
butyrolactone,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,b022309bea7decac99b50b8591b219f4
"carboxymethyl cellulose, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,3b56a3404c99eacc346c115c71f9b634
chloroacetyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,74b3d0c57be1f366436401119ce464e4
chloromethyl methyl ether,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,f67fb150eaf08c8638c259ede7c5acaa
chloronitrobenzene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,9136b656afaeda69b8652342e5cd9914
cyanoacetic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,434fd94e2687f9ca9658ce7a67b0e704
cyanuric chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,f60bd3430ae993b71b87c1b6eba602c8
dichloropropene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,b1690a2fd79ba2a49d7d0d6f8e0adb00
dimethyl ether,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,7de0dfe4336f47fde0196061ac15542b
dimethyl malonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,9a55e3776cfd6ba0eff584718b276665
dimethylacetamide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,a4bb5cfcf0cd33b47517b909e13a9b1e
dimethylamine borane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,ac9a259d76b64d1076c2a2636835edd2
esters of versatic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,7c597b033e629cbaae77b967384c321c
ethylene carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,68682bf93320b71fd4437ac33efed870
glyoxal,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,1f90c15c46776c3e8f52707c5b3cd36c
hydrogen cyanide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,cb27fad67fa59323dba0aa458a923fa0
isohexane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,1e6336beef954fb4c7fa7ff4fa8c2676
methyl iodide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,ac65b4ba9bf256f8403032af2a93ae1b
methyl-3-methoxypropionate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,87a5d6d3d8431da63d3200640152f0c7
monochloropentafluoroethane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,f33ef03aa160567a3b2bbffdc3923be9
N-methyl-2-pyrrolidone,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,16772827f1d953ba72aa1196608a137e
n-olefins,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,f4f7432af90bd3bc48876e492a891c5c
"N,N-dimethylformamide",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,eb3a4bf8bdfd42f75d5ad5354fd5a283
nitrobenzene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,0bc0db0160b9a7060ed6d7e153cba7e9
o-aminophenol,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,0f0793c1a75a7d416989244f26e56f99
o-chlorobenzaldehyde,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,4b6509e4e7ee7ea012e0934e7ffb8c81
o-chlorotoluene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,94b25348a571c34de535ea15bdd25bdd
p-nitrotoluene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,49730d0cdcad7db08170b92295afdd9c
phenyl isocyanate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,294dcec3218bc6a8aeb68360e395721c
phthalimide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,c6e2d693b316decde649821d66febf53
"plasticiser, for concrete, based on sulfonated melamine formaldehyde",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,8ad5660119fcc79e360007307e5868ec
polyacrylamide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,fc35c498978c9c84a4a5e1177156166f
propanal,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,04899076a988fc60a09f0a2ceeef1cdc
sodium ethoxide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,46af4ebc0196b5b58c91b5ba7e059edb
sodium phenolate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,179115a69d4edf009424c8034ac99da1
tetraethyl orthosilicate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,9f128988f3acac74c584daa6a156581f
trichloropropane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,12db4db13a3be01baa69f72e7ac36a4d
vinyl carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,678bf78603023cc19535c1e39bd86a96
vinyl fluoride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic organic chemicals,341,8ee4f96dc95af219754e64afbae9a012
acetone cyanohydrin,Chemical,Chemical products,Manufacture of plastics and synthetic rubber in primary forms,2013, Basic organic chemicals,341,54d923bd9d99ac1412a5d6537bc31952
solvent for chromatography analysis,Chemical,Chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mas",2022, Basic organic chemicals,341,dae5abf84cb8a563ba8a5b18440ac17a
"alkylbenzene sulfonate, linear, petrochemical",Chemical,Chemical products,"Manufacture of soap and detergents, cleaning and polishing preparations, pe",2023, Basic organic chemicals,341,1aa67db6eb07ae510add0122ad118566
"alkylbenzene, linear",Chemical,Chemical products,"Manufacture of soap and detergents, cleaning and polishing preparations, pe",2023, Basic organic chemicals,341,bda95fa396426be0c3b72f695b0fd652
"electrolyte, copper-rich",Chemical,Chemical products,Mining of other non-ferrous metal ores,729, Basic inorganic chemicals n.e.c.,342,d3864c3c9a9e22e5b793007f3a291bd3
arsine,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,548ba037813035a6af38a09eb85bff7f
"cadmium chloride, semiconductor-grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,90ace80295c30f9c23a4ea912798834c
"cadmium telluride, semiconductor-grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,b9797bcb8365ce1947f53d627aaed216
"cadmium, semiconductor-grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,3ba3db6170897e80bb2f0396965a17fe
"chemical, inorganic",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,01db42d0cf60ce129081153fdecb0816
cyanogen chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,e81375e2d78934828e3d97ca8cc1915b
"electrolyte, KOH, LiOH additive",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,d6fb769fea94e684a9aca5046ae47050
"graphite, battery grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,d7f12f4266b96b769dc58ea1126c1ec3
inert gas for discharge lamps,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,5f374b4e1908ad58591fe8bbfdb48304
lithium hexafluorophosphate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,c3f5bddc18f1d6c4407270350e1afe92
lithium sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,2e13f8367c20de1e07cc8533838f12a7
"neutralising agent, sodium hydroxide-equivalent",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,5fd1f038bc94477d07b837ff11f9172d
nitrous dioxide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,30f181132269d40424648771112019ea
nitrous oxide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,4588540a0f758b27aed8e91084b6420f
"ozone, liquid",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,e43e9552be438b80a10a4994fa194a73
silicon tetrachloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,0f82d352d30931cd099c5b66f1eb1aa7
silicon tetrahydride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,eef430094654fcdaa8e455bdeffce5a2
"silicon, electronics grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,0424e0ee61fc9fff9d0048897f2a05ae
"silicon, multi-Si, casted",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,17a5e69f28a2fac3c44ecd6dd0dc2e39
"silicon, single crystal, Czochralski process, electronics",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,2ce8098f2ba137faff3a0ae6b11de417
"silicon, solar grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,bda19f701a1b4682d0a6cfa7518fa679
sodium amide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,d8500f1e8ec8dc947bf055e3434a725e
sodium arsenide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,c84a74cc492adaf347f8d353bc88d015
"sodium dithionite, anhydrous",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,e23d66aae866646348bcf6a636b19b3e
sodium hydrosulfide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,7394beebb09a102fed21b44cfeddf059
sodium pyrophosphate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,79ee4b349e86f35a3fae28eb3e1faa7b
sodium sulfide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,831546e12a5bc993ee703e12fc0801bc
sodium tetrafluoroborate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,08b8a631caef6e11e2ee57ab8520fd85
sulfur dichloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,1be30e6af878d89c66d1d6d44f3112b2
"sulfur hexafluoride, liquid",Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,d0aa9f0cadf9b3316fc1a0ac487239b1
trichloroborane,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,35f59d2cfb9dd74fa022a7582d332780
trimesoyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,342,b320dfc416b638a3ace8d0f9d597a3c8
cadmium,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,368125ae5d5cc1abfdf10767205437e8
hafnium tetrachloride,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,1cf4cb0999410d62d4aabe04ae23a24f
"magnesium chloride, from hafnium sponge production",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,f430d06e35fc8a44dad41e14e3da2b2e
"magnesium chloride, from titanium sponge production",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,d98f12a4218dd019b474e67b92b12666
"magnesium chloride, from zirconium sponge production",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,80134f7ca3985b457e979a2ce63b85e1
"silicon, metallurgical grade",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,c611cc65ac574f5cd7a49f4e080c2535
titanium tetrachloride,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,1c5b5f0eba830475ef0cb68179e96031
zirconium tetrachloride,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420, Basic inorganic chemicals n.e.c.,342,ba867c11b1a36bbcfaaaf227ee9b7388
"wood preservative, creosote",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,7b81bb4e79c74df7856dbc1c71031ee8
"wood preservative, inorganic salt, containing Cr",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,63e4f246e95ca378ab0d5ee2b5bcf6e7
"wood preservative, organic salt, Cr-free",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,42f1b5ea9f5dacabf7b277c8831884db
"wood preservative, organic, indoor use, dry",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,20a8ff21e412cdb5830f3f5593293286
"wood preservative, organic, indoor use, occasionally wet",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,2f286a31ed91a075a64107b4b72cb851
"wood preservative, organic, outdoor use, no ground contact",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,da9441fd6a35aee746031e6db790c22f
"wood preservative, water-based, indoor use, dry",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,e23b3fbc9abd291a49d54704be97e0ae
"wood preservative, water-based, indoor use, occasionally wet",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,d2cb40d180482a646bff4e70b3d8f377
"wood preservative, water-based, outdoor use, no ground contact",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,345,0c95cc2e43d425b51365905aa8a0ad65
calcium borates,Chemical,Chemical products,Mining of chemical and fertilizer minerals,891, Fertilizers and pesticides,346,8c6b2ada8ad5fc35b5c27e4ed69adc4f
"pesticide, unspecified",Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fertilizers and pesticides,346,3b4e7ede7ecf288c61e123d0cd63e044
ethylene vinyl acetate copolymer,PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,7e17e224f391e3ae9773c375e3fc2578
methyl methacrylate,PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,d308903649607d51ce934a66a3089e2b
methylene diphenyl diisocyanate,PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,cfc0457df2dc3f62944059023f4d234b
nylon 6,PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,6e0a38c0c4faec67b84f943c871a9f5e
nylon 6-6,PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,13b8f6719566d0e68dbe3346c8e281fc
"nylon 6-6, glass-filled",PlastRub,Plastics & rubber products,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,347,391fa1b23d4722d12d3610fa89a38663
